"","date","level","name","classification","i_cases"
"260",2023-02-02,"Department","ASUNCION","TOTAL",308
"261",2023-02-02,"Department","CAAGUAZU","SOSPECHOSO",18
"262",2023-02-02,"Department","CAAGUAZU","CONFIRMADO",1
"263",2023-02-02,"Department","CAAGUAZU","PROBABLE",0
"264",2023-02-02,"Department","CAAGUAZU","TOTAL",19
"265",2023-01-31,"Department","ASUNCION","SOSPECHOSO",108
"266",2023-01-31,"Department","ASUNCION","CONFIRMADO",245
"267",2023-01-31,"Department","ASUNCION","PROBABLE",1
"268",2023-01-31,"Department","ASUNCION","TOTAL",354
"269",2023-01-30,"Department","ASUNCION","SOSPECHOSO",124
"270",2023-01-30,"Department","ASUNCION","CONFIRMADO",277
"271",2023-01-30,"Department","ASUNCION","PROBABLE",2
"272",2023-01-30,"Department","ASUNCION","TOTAL",403
"273",2023-02-01,"Department","ASUNCION","SOSPECHOSO",130
"274",2023-02-01,"Department","ASUNCION","CONFIRMADO",236
"275",2023-02-01,"Department","ASUNCION","PROBABLE",1
"276",2023-02-01,"Department","ASUNCION","TOTAL",367
"277",2023-01-20,"Department","CENTRAL","SOSPECHOSO",264
"278",2023-01-20,"Department","CENTRAL","CONFIRMADO",541
"279",2023-01-20,"Department","CENTRAL","PROBABLE",1
"280",2023-01-20,"Department","CENTRAL","TOTAL",806
"281",2023-01-06,"Department","PTE HAYES","SOSPECHOSO",2
"282",2023-01-06,"Department","PTE HAYES","CONFIRMADO",5
"283",2023-01-06,"Department","PTE HAYES","PROBABLE",0
"284",2023-01-06,"Department","PTE HAYES","TOTAL",7
"285",2023-01-18,"Department","CONCEPCION","SOSPECHOSO",6
"286",2023-01-18,"Department","CONCEPCION","CONFIRMADO",1
"287",2023-01-18,"Department","CONCEPCION","PROBABLE",0
"288",2023-01-18,"Department","CONCEPCION","TOTAL",7
"289",2023-01-26,"Department","ASUNCION","SOSPECHOSO",69
"290",2023-01-26,"Department","ASUNCION","CONFIRMADO",218
"291",2023-01-26,"Department","ASUNCION","PROBABLE",0
"292",2023-01-26,"Department","ASUNCION","TOTAL",287
"293",2023-01-16,"Department","ASUNCION","SOSPECHOSO",39
"294",2023-01-16,"Department","ASUNCION","CONFIRMADO",211
"295",2023-01-16,"Department","ASUNCION","PROBABLE",3
"296",2023-01-16,"Department","ASUNCION","TOTAL",253
"297",2023-01-15,"Department","CENTRAL","SOSPECHOSO",227
"298",2023-01-15,"Department","CENTRAL","CONFIRMADO",329
"299",2023-01-15,"Department","CENTRAL","PROBABLE",0
"300",2023-01-15,"Department","CENTRAL","TOTAL",556
"301",2023-01-20,"Department","ASUNCION","SOSPECHOSO",62
"302",2023-01-20,"Department","ASUNCION","CONFIRMADO",237
"303",2023-01-20,"Department","ASUNCION","PROBABLE",4
"304",2023-01-20,"Department","ASUNCION","TOTAL",303
"305",2023-01-24,"Department","CAAZAPA","SOSPECHOSO",6
"306",2023-01-24,"Department","CAAZAPA","CONFIRMADO",1
"307",2023-01-24,"Department","CAAZAPA","PROBABLE",0
"308",2023-01-24,"Department","CAAZAPA","TOTAL",7
"309",2023-01-16,"Department","CAAZAPA","SOSPECHOSO",2
"310",2023-01-16,"Department","CAAZAPA","CONFIRMADO",1
"311",2023-01-16,"Department","CAAZAPA","PROBABLE",0
"312",2023-01-16,"Department","CAAZAPA","TOTAL",3
"313",2023-01-22,"Department","ASUNCION","SOSPECHOSO",46
"314",2023-01-22,"Department","ASUNCION","CONFIRMADO",238
"315",2023-01-22,"Department","ASUNCION","PROBABLE",0
"316",2023-01-22,"Department","ASUNCION","TOTAL",284
"317",2023-01-08,"Department","ASUNCION","SOSPECHOSO",33
"318",2023-01-08,"Department","ASUNCION","CONFIRMADO",93
"319",2023-01-08,"Department","ASUNCION","PROBABLE",3
"320",2023-01-08,"Department","ASUNCION","TOTAL",129
"321",2023-01-06,"Department","CENTRAL","SOSPECHOSO",108
"322",2023-01-06,"Department","CENTRAL","CONFIRMADO",171
"323",2023-01-06,"Department","CENTRAL","PROBABLE",3
"324",2023-01-06,"Department","CENTRAL","TOTAL",282
"325",2023-01-21,"Department","PTE HAYES","SOSPECHOSO",3
"326",2023-01-21,"Department","PTE HAYES","CONFIRMADO",7
"327",2023-01-21,"Department","PTE HAYES","PROBABLE",0
"328",2023-01-21,"Department","PTE HAYES","TOTAL",10
"329",2023-01-17,"Department","ASUNCION","SOSPECHOSO",34
"330",2023-01-17,"Department","ASUNCION","CONFIRMADO",173
"331",2023-01-17,"Department","ASUNCION","PROBABLE",3
"332",2023-01-17,"Department","ASUNCION","TOTAL",210
"333",2023-01-23,"Department","CENTRAL","SOSPECHOSO",405
"334",2023-01-23,"Department","CENTRAL","CONFIRMADO",662
"335",2023-01-23,"Department","CENTRAL","PROBABLE",0
"336",2023-01-23,"Department","CENTRAL","TOTAL",1067
"337",2023-01-25,"Department","ASUNCION","SOSPECHOSO",57
"338",2023-01-25,"Department","ASUNCION","CONFIRMADO",250
"339",2023-01-25,"Department","ASUNCION","PROBABLE",0
"340",2023-01-25,"Department","ASUNCION","TOTAL",307
"341",2023-01-23,"Department","PTE HAYES","SOSPECHOSO",6
"342",2023-01-23,"Department","PTE HAYES","CONFIRMADO",13
"343",2023-01-23,"Department","PTE HAYES","PROBABLE",0
"344",2023-01-23,"Department","PTE HAYES","TOTAL",19
"345",2023-01-27,"Department","ASUNCION","SOSPECHOSO",66
"346",2023-01-27,"Department","ASUNCION","CONFIRMADO",241
"347",2023-01-27,"Department","ASUNCION","PROBABLE",0
"348",2023-01-27,"Department","ASUNCION","TOTAL",307
"349",2023-01-11,"Department","CENTRAL","SOSPECHOSO",216
"350",2023-01-11,"Department","CENTRAL","CONFIRMADO",282
"351",2023-01-11,"Department","CENTRAL","PROBABLE",0
"352",2023-01-11,"Department","CENTRAL","TOTAL",498
